,batch_size,dni_rmse,dropout,epochs,lag,loss,model_filename,params,r2,rmse,time_ran,tts_year
0,1000,,0.3,2,24,"{'val_loss': [0.1319106151001746, 0.09753008122714854], 'loss': [0.16824653487199862, 0.1156157197284736]}",model_24_lag_1539828685.h5,"{'batch_size': 1000, 'epochs': 2, 'steps': None, 'samples': 15208, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-27.72707974808705,0.3122980579269853,,2012
1,1000,,0.3,2,72,"{'val_loss': [0.09933691712461507, 0.0890695123036086], 'loss': [0.11394583532159121, 0.09783158048318999]}",model_72_lag_1539828700.h5,"{'batch_size': 1000, 'epochs': 2, 'steps': None, 'samples': 15160, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-19.83672753097589,0.29844515829973106,,2012
2,1000,,0.3,2,168,"{'val_loss': [0.10483372032810502, 0.09176952838477362], 'loss': [0.12584453629279352, 0.10113634579022135]}",model_168_lag_1539828724.h5,"{'batch_size': 1000, 'epochs': 2, 'steps': None, 'samples': 15064, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-23.785154626509875,0.30293485910919343,,2012
3,1000,334.2799953352735,0.3,2,24,"{'val_loss': [0.11410914926838303, 0.1047919530668447], 'loss': [0.12606595874789012, 0.11246296136724768]}",model_24_lag_1539829201.h5,"{'batch_size': 1000, 'epochs': 2, 'steps': None, 'samples': 15208, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-68.72015655186657,0.32371585221411786,1539829209.0,2012
4,1000,321.3145591380295,0.3,2,72,"{'val_loss': [0.10655641882602855, 0.09682064232310052], 'loss': [0.14299846680387657, 0.10508285946455984]}",model_72_lag_1539829218.h5,"{'batch_size': 1000, 'epochs': 2, 'steps': None, 'samples': 15160, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-37.384210271995634,0.3111601585247333,1539829226.0,2012
5,1000,315.8011882546073,0.3,2,168,"{'val_loss': [0.10708953705005485, 0.09352650147651247], 'loss': [0.12236193940241287, 0.10242768941695425]}",model_168_lag_1539829242.h5,"{'batch_size': 1000, 'epochs': 2, 'steps': None, 'samples': 15064, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-30.933304799158268,0.30582102492713514,1539829252.0,2012
6,1000,315.4500792726075,0.3,2,24,"{'val_loss': [0.1021212695957239, 0.09331864990787883], 'loss': [0.1179348623663234, 0.10283557683041321]}",1539829385_model_24_lag.h5,"{'batch_size': 1000, 'epochs': 2, 'steps': None, 'samples': 15208, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-31.48125997227743,0.30548101192930643,1539829394.0,2012
7,1000,324.79940218699045,0.3,2,72,"{'val_loss': [0.10990308506784721, 0.09893218522473686], 'loss': [0.14743631266273735, 0.1049239332136504]}",1539829403_model_72_lag.h5,"{'batch_size': 1000, 'epochs': 2, 'steps': None, 'samples': 15160, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-47.179091445441856,0.3145348712002417,1539829412.0,2012
8,1000,320.7357595244494,0.3,2,168,"{'val_loss': [0.1059515149725341, 0.09647214683810477], 'loss': [0.1438297630306007, 0.10600678273340647]}",1539829429_model_168_lag.h5,"{'batch_size': 1000, 'epochs': 2, 'steps': None, 'samples': 15064, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-36.39319408908443,0.3105996505290832,1539829439.0,2012
9,3,218.92194776230392,0.33,5,24,"{'val_loss': [0.047669098476337116, 0.04701623693346348, 0.04649019835002009, 0.04564127649983571, 0.04494545337533283], 'loss': [0.05469960650184252, 0.050442838617217635, 0.049586071702259954, 0.04886338098588822, 0.04811164379302468]}",1539831721_model_24_lag.h5,"{'batch_size': 3, 'epochs': 5, 'steps': None, 'samples': 23992, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",0.029330577655678258,0.21200342789633486,1539831723.0,2013
10,3,251.19678544164967,0.33,5,72,"{'val_loss': [0.06985518348592343, 0.0648638994709834, 0.06235491508684013, 0.05986060692909662, 0.05917459760014731], 'loss': [0.06968720858310225, 0.06486442479833185, 0.06034027405176987, 0.058766999510092385, 0.05778913188403633]}",1539831933_model_72_lag.h5,"{'batch_size': 3, 'epochs': 5, 'steps': None, 'samples': 23944, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-0.8600815007173535,0.24325829426655488,1539831936.0,2013
11,3,259.9814152622937,0.33,5,168,"{'val_loss': [0.06795505077769466, 0.06361738235911484, 0.06306491375825374, 0.06337168128697389, 0.06338576945626433], 'loss': [0.06992128912063549, 0.0668766456591958, 0.06164594956439267, 0.05979052020236097, 0.0593687605126772]}",1539832340_model_168_lag.h5,"{'batch_size': 3, 'epochs': 5, 'steps': None, 'samples': 23848, 'verbose': 1, 'do_validation': True, 'metrics': ['loss', 'val_loss']}",-0.27673839585986704,0.25176530625787413,1539832344.0,2013
